739	19
767	19
772	19
792	19
abbreviations	19
fur	19
martinez	19
myth	19
paris	19
prague	19
sanchez	19
slovak	19
symbolism	19
thomas	19
und	19
133	18
139	18
174	18
180	18
181	18
182	18
183	18
189	18
206	18
226	18
260	18
286	18
289	18
299	18
313	18
355	18
402	18
410	18
411	18
427	18
451	18
457	18
476	18
480	18
495	18
52	18
531	18
549	18
580	18
621	18
63	18
636	18
668	18
680	18
737	18
768	18
794	18
82	18
833	18
el	18
etc	18
goethe	18
jean	18
langs	18
linguistic	18
mss	18
romantic	18
ye	18
118	17
119	17
131	17
140	17
141	17
146	17
163	17
187	17
190	17
191	17
256	17
266	17
296	17
307	17
337	17
351	17
377	17
378	17
392	17
492	17
501	17
508	17
530	17
535	17
538	17
595	17
604	17
635	17
653	17
667	17
669	17
711	17
726	17
741	17
756	17
793	17
andersen	17
brazilian	17
bulletin	17
gide	17
muller	17
review	17
toponymy	17
warsaw	17
107	16
116	16
124	16
134	16
138	16
157	16
209	16
233	16
242	16
251	16
301	16
306	16
311	16
319	16
320	16
333	16
341	16
344	16
384	16
449	16
474	16
483	16
494	16
516	16
579	16
581	16
584	16
593	16
602	16
659	16
671	16
676	16
678	16
693	16
72	16
760	16
775	16
807	16
808	16
832	16
84	16
93	16
do	16
fernandez	16
florence	16
hungarian	16
provencal	16
rousseau	16
slavonic	16
university	16
127	15
149	15
155	15
159	15
167	15
186	15
232	15
243	15
244	15
248	15
298	15
312	15
318	15
338	15
353	15
354	15
445	15
471	15
601	15
634	15
646	15
666	15
670	15
74	15
740	15
761	15
historical	15
ii	15
italy	15
mann	15
scandinavian	15
soviet	15
zeitschrift	15
136	14
153	14
161	14
169	14
176	14
177	14
179	14
199	14
241	14
245	14
250	14
254	14
316	14
340	14
342	14
380	14
428	14
456	14
496	14
514	14
515	14
525	14
637	14
639	14
679	14
696	14
71	14
712	14
715	14
73	14
730	14
762	14
782	14
ballads	14
germany	14
library	14
life	14
lope	14
perez	14
rodriguez	14
schmidt	14
society	14
studi	14
th	14
vega	14
137	13
143	13
144	13
151	13
231	13
253	13
345	13
485	13
491	13
500	13
504	13
512	13
599	13
603	13
642	13
675	13
70	13
705	13
752	13
79	13
81	13
839	13
85	13
86	13
92	13
castro	13
della	13
fiction	13
fr	13
gomez	13
mallarme	13
mel	13
mme	13
paul	13
132	12
193	12
229	12
302	12
348	12
452	12
459	12
461	12
605	12
606	12
641	12
700	12
736	12
759	12
77	12
87	12
91	12
94	12
95	12
age	12
anthroponymy	12
biblical	12
etudes	12
jahrbuch	12
literary	12
martins	12
peguy	12
ruiz	12
unamuno	12
230	11
310	11
334	11
453	11
499	11
587	11
594	11
633	11
648	11
698	11
703	11
83	11
89	11
baudelaire	11
britain	11
european	11
filologia	11
holderlin	11
jensen	11
jr	11
keller	11
les	11
neo	11
new	11
ohg	11
rome	11
wolf	11
zur	11
135	10
293	10
343	10
497	10
597	10
630	10
695	10
704	10
713	10
750	10
773	10
camus	10
concept	10
dostoevsky	10
franko	10
golden	10
greek	10
guillaume	10
humanism	10
il	10
john	10
jones	10
juan	10
ko	10
london	10
machado	10
mhg	10
morphology	10
nielsen	10
oslo	10
periodicals	10
political	10
pope	10
proust	10
relation	10
robert	10
ronsard	10
saga	10
silva	10
stendhal	10
studia	10
themes	10
writers	10
x	10
147	9
219	9
294	9
324	9
458	9
629	9
674	9
697	9
acta	9
barcelona	9
boletin	9
comedy	9
courtly	9
cultura	9
die	9
family	9
germanic	9
grammar	9
hugo	9
imagery	9
lettres	9
ms	9
popular	9
press	9
pseud	9
simon	9
smith	9
storico	9
syntax	9
tale	9
univ	9
255	8
297	8
309	8
454	8
455	8
518	8
664	8
708	8
710	8
714	8
749	8
781	8
aa	8
adam	8
andrade	8
apollinaire	8
archivio	8
berlin	8
book	8
brown	8
canadian	8
ch	8
contemporary	8
den	8
deutsche	8
england	8
ferdinand	8
heinrich	8
hispanic	8
law	8
leon	8
libro	8
lima	8
loan	8
lorca	8
lyric	8
mexican	8
morales	8
norse	8
philology	8
poetic	8
quarterly	8
religious	8
roland	8
rumanian	8
santos	8
schlegel	8
schneider	8
serbian	8
short	8
story	8
texts	8
turin	8
wagner	8
weber	8
words	8
york	8
205	7
346	7
3annckh	7
701	7
706	7
association	7
atti	7
baroja	7
beitrage	7
brecht	7
butor	7
cahiers	7
calderon	7
camoes	7
chretien	7
cuban	7
cultural	7
dictionaries	7
dubois	7
duke	7
ecclesiastical	7
estudios	7
flemish	7
fontane	7
foreign	7
friulan	7
gezelle	7
gogol	7
hamsun	7
hartmann	7
henry	7
hill	7
hoffmann	7
holland	7
ibsen	7
jorgensen	7
kraus	7
lexical	7
los	7
meyer	7
michel	7
munich	7
naples	7
period	7
peter	7
petrarch	7
ph	7
puerto	7
real	7
revolution	7
rio	7
sbornik	7
schiller	7
semantics	7
slavic	7
song	7
sprache	7
stockholm	7
stylistics	7
technique	7
theories	7
vabbe	7
valery	7
valle	7
vie	7
voltaire	7
wilson	7
works	7
295	6
323	6
335	6
463	6
702	6
742	6
albrecht	6
alexander	6
anderson	6
annales	6
antepatypbi	6
art	6
aurevilly	6
austrian	6
benedetto	6
bernard	6
beyer	6
biblioteca	6
books	6
bucharest	6
